"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2023","528.2247","532.5702","533.0076","521.6278","","-0.82%"
"05/30/2023","532.5702","546.8587","548.5576","530.7365","","-2.61%"
"05/26/2023","546.8587","541.4254","547.6781","539.8400","","1.00%"
"05/25/2023","541.4254","551.2490","552.1942","537.4186","","-1.78%"
"05/24/2023","551.2491","546.4748","553.3673","546.4456","","0.87%"
"05/23/2023","546.4748","544.4413","549.8206","541.4987","","0.37%"
"05/22/2023","544.4413","543.4167","545.7079","537.8809","","0.19%"
"05/19/2023","543.4167","544.9976","553.4628","541.8442","","-0.29%"
"05/18/2023","544.9977","549.2696","549.4007","542.1319","","-0.78%"
"05/17/2023","549.2696","542.6670","550.5122","539.4203","","1.22%"
"05/16/2023","542.6670","546.3794","549.1467","541.2399","","-0.68%"
"05/15/2023","546.3794","538.9058","548.5214","535.9719","","1.39%"
"05/12/2023","538.9058","540.7028","544.6337","537.4386","","-0.33%"
"05/11/2023","540.7029","550.5697","553.4670","540.0221","","-1.78%"
"05/10/2023","550.5183","554.2420","555.2425","547.8860","","-0.66%"
"05/09/2023","554.1743","553.6067","554.4394","544.4785","","0.12%"
"05/08/2023","553.5158","545.6809","555.4543","544.7623","","1.45%"
"05/05/2023","545.5896","532.8850","547.0830","532.4519","","2.41%"
"05/04/2023","532.7721","532.0661","537.5412","527.9724","","0.13%"
"05/03/2023","532.0662","543.2692","543.5036","529.1777","","-2.06%"
"05/02/2023","543.2693","560.1074","562.6739","542.4005","","-3.01%"
"05/01/2023","560.1074","564.9675","564.9675","555.2326","","-0.86%"
"04/28/2023","564.9676","556.2612","565.6431","552.0370","","1.57%"
"04/27/2023","556.2612","556.9399","558.6259","553.0093","","-0.12%"
"04/26/2023","556.9400","567.9559","571.7266","556.3528","","-1.94%"
"04/25/2023","567.9560","577.5799","578.8830","565.1414","","-1.67%"
"04/24/2023","577.5799","573.9020","579.0119","568.5344","","0.64%"
"04/21/2023","573.9020","574.2980","577.2280","570.6390","","-0.07%"
"04/20/2023","574.2980","583.6633","583.6633","571.9780","","-1.60%"
